position,variable,label,primary_category,tags,missing_pct,missingness_band,model1_status,model1_available_pre_outcome,model1_leakage_risk,model1_leakage_basis,model1_reason,model2_status,model2_available_pre_outcome,model2_leakage_risk,model2_leakage_basis,model2_reason,source_url
15,account_mob,Has a mobile money account,TARGET,TARGET;CONSTRUCTED;POSSIBLE_LEAKAGE,0.0,NONE,EXCLUDE_PARALLEL_OUTCOME,NO,HIGH,Parallel financial-access outcome; conceptually intertwined with the target.,Parallel financial-access outcome; conceptually intertwined with the target.,TARGET,NOT_APPLICABLE,TARGET,This is the prediction target.,Prediction target; never included in its own feature matrix.,https://microdata.worldbank.org/catalog/7900/variable/F1/V15?name=account_mob
16,account,Has an account,FINANCIAL,FINANCIAL;CONSTRUCTED;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",https://microdata.worldbank.org/catalog/7900/variable/F1/V16?name=account
17,dig_account,Has a digitally enabled account,FINANCIAL,FINANCIAL;CONSTRUCTED;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",https://microdata.worldbank.org/catalog/7900/variable/F1/V17?name=dig_account
18,borrowed,Borrowed,FINANCIAL,FINANCIAL;CONSTRUCTED;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V18?name=borrowed
19,saved,Saved,FINANCIAL,FINANCIAL;CONSTRUCTED;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V19?name=saved
20,receive_wages,Received a wage payment,FINANCIAL,FINANCIAL;CONSTRUCTED;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",https://microdata.worldbank.org/catalog/7900/variable/F1/V20?name=receive_wages
21,receive_transfers,Received a government transfer payment,FINANCIAL,FINANCIAL;CONSTRUCTED;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",https://microdata.worldbank.org/catalog/7900/variable/F1/V21?name=receive_transfers
22,receive_pensions,Received a government pension payment,FINANCIAL,FINANCIAL;CONSTRUCTED;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",https://microdata.worldbank.org/catalog/7900/variable/F1/V22?name=receive_pensions
23,receive_agriculture,Received a payment for the sale of agricultural goods,FINANCIAL,FINANCIAL;CONSTRUCTED;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",https://microdata.worldbank.org/catalog/7900/variable/F1/V23?name=receive_agriculture
24,merchantpay_dig,Made a digital merchant payment,FINANCIAL,FINANCIAL;CONSTRUCTED;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",https://microdata.worldbank.org/catalog/7900/variable/F1/V24?name=merchantpay_dig
25,pay_utilities,Paid a utility bill,FINANCIAL,FINANCIAL;CONSTRUCTED;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",https://microdata.worldbank.org/catalog/7900/variable/F1/V25?name=pay_utilities
26,domestic_remittances,Made or received a domestic remittance payment,FINANCIAL,FINANCIAL;CONSTRUCTED;POSSIBLE_LEAKAGE;EXCLUDED,0.5709,LOW_UNDER_25,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",https://microdata.worldbank.org/catalog/7900/variable/F1/V26?name=domestic_remittances
27,anydigpayment,Made or received a digital payment,FINANCIAL,FINANCIAL;CONSTRUCTED;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",https://microdata.worldbank.org/catalog/7900/variable/F1/V27?name=anydigpayment
28,fin2,Has a debit card,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V28?name=fin2
29,fin3,Used a card or mobile phone to access account,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,54.3292,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",54.33% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,54.33% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V29?name=fin3
30,fin4,Opened first account to receive a wage or salary payment or money from the gover,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,54.3292,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",54.33% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,54.33% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V30?name=fin4
31,fin5,Frequency of money deposited into accounts,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,54.3292,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",54.33% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,54.33% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V31?name=fin5
32,fin6,Frequency of money sent or taken out of accounts,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,54.3292,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",54.33% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,54.33% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V32?name=fin6
33,fin7,Any deposits or withdrawals,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,88.8677,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",88.87% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,88.87% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V33?name=fin7
34,fin8,Store money in account,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,54.3292,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",54.33% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,54.33% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V34?name=fin8
35,fin9a,Receive account balance information using a mobile phone or the internet,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,54.3292,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",54.33% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,54.33% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V35?name=fin9a
36,fin9b,Check account balance using a mobile phone or the internet,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,54.3292,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",54.33% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,54.33% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V36?name=fin9b
37,fin10,Has a credit card,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,54.3292,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",54.33% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,54.33% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V37?name=fin10
38,fin11_0,Has a card that you can add money to and use to send and receive money or make p,FINANCIAL,FINANCIAL;HIGH_MISSING;ALL_MISSING;LOW_VARIANCE;POSSIBLE_LEAKAGE;EXCLUDED,100.0,ALL_MISSING,EXCLUDE_ALL_MISSING,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",No observed values in Eswatini; conceptual leakage risk is DIRECT.,EXCLUDE_ALL_MISSING,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,No observed values in Eswatini; conceptual leakage risk is HIGH.,https://microdata.worldbank.org/catalog/7900/variable/F1/V38?name=fin11_0
39,fin11_1,Ever had an account at a bank or similar financial institution,FINANCIAL,FINANCIAL;HIGH_MISSING;ALL_MISSING;LOW_VARIANCE;POSSIBLE_LEAKAGE;EXCLUDED,100.0,ALL_MISSING,EXCLUDE_ALL_MISSING,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",No observed values in Eswatini; conceptual leakage risk is DIRECT.,EXCLUDE_ALL_MISSING,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,No observed values in Eswatini; conceptual leakage risk is HIGH.,https://microdata.worldbank.org/catalog/7900/variable/F1/V39?name=fin11_1
40,fin11_2,Could use account without help,FINANCIAL,FINANCIAL;HIGH_MISSING;ALL_MISSING;LOW_VARIANCE;POSSIBLE_LEAKAGE;EXCLUDED,100.0,ALL_MISSING,EXCLUDE_ALL_MISSING,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",No observed values in Eswatini; conceptual leakage risk is DIRECT.,EXCLUDE_ALL_MISSING,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,No observed values in Eswatini; conceptual leakage risk is HIGH.,https://microdata.worldbank.org/catalog/7900/variable/F1/V40?name=fin11_2
41,fin11a,Reason for no account: too far,FINANCIAL,FINANCIAL;HIGH_MISSING;ALL_MISSING;LOW_VARIANCE;POSSIBLE_LEAKAGE;EXCLUDED,100.0,ALL_MISSING,EXCLUDE_ALL_MISSING,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",No observed values in Eswatini; conceptual leakage risk is DIRECT.,EXCLUDE_ALL_MISSING,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,No observed values in Eswatini; conceptual leakage risk is HIGH.,https://microdata.worldbank.org/catalog/7900/variable/F1/V41?name=fin11a
42,fin11b,Reason for no account: fees too expensive,FINANCIAL,FINANCIAL;HIGH_MISSING;ALL_MISSING;LOW_VARIANCE;POSSIBLE_LEAKAGE;EXCLUDED,100.0,ALL_MISSING,EXCLUDE_ALL_MISSING,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",No observed values in Eswatini; conceptual leakage risk is DIRECT.,EXCLUDE_ALL_MISSING,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,No observed values in Eswatini; conceptual leakage risk is HIGH.,https://microdata.worldbank.org/catalog/7900/variable/F1/V42?name=fin11b
43,fin11c,Reason for no account: lack documentation,FINANCIAL,FINANCIAL;HIGH_MISSING;ALL_MISSING;LOW_VARIANCE;POSSIBLE_LEAKAGE;EXCLUDED,100.0,ALL_MISSING,EXCLUDE_ALL_MISSING,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",No observed values in Eswatini; conceptual leakage risk is DIRECT.,EXCLUDE_ALL_MISSING,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,No observed values in Eswatini; conceptual leakage risk is HIGH.,https://microdata.worldbank.org/catalog/7900/variable/F1/V43?name=fin11c
44,fin11d,Reason for no account: lack money,FINANCIAL,FINANCIAL;HIGH_MISSING;ALL_MISSING;LOW_VARIANCE;POSSIBLE_LEAKAGE;EXCLUDED,100.0,ALL_MISSING,EXCLUDE_ALL_MISSING,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",No observed values in Eswatini; conceptual leakage risk is DIRECT.,EXCLUDE_ALL_MISSING,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,No observed values in Eswatini; conceptual leakage risk is HIGH.,https://microdata.worldbank.org/catalog/7900/variable/F1/V44?name=fin11d
45,fin11e,Reason for no account: family member already has one,FINANCIAL,FINANCIAL;HIGH_MISSING;ALL_MISSING;LOW_VARIANCE;POSSIBLE_LEAKAGE;EXCLUDED,100.0,ALL_MISSING,EXCLUDE_ALL_MISSING,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",No observed values in Eswatini; conceptual leakage risk is DIRECT.,EXCLUDE_ALL_MISSING,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,No observed values in Eswatini; conceptual leakage risk is HIGH.,https://microdata.worldbank.org/catalog/7900/variable/F1/V45?name=fin11e
46,fin11f,Reason for no account: lack trust,FINANCIAL,FINANCIAL;HIGH_MISSING;ALL_MISSING;LOW_VARIANCE;POSSIBLE_LEAKAGE;EXCLUDED,100.0,ALL_MISSING,EXCLUDE_ALL_MISSING,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",No observed values in Eswatini; conceptual leakage risk is DIRECT.,EXCLUDE_ALL_MISSING,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,No observed values in Eswatini; conceptual leakage risk is HIGH.,https://microdata.worldbank.org/catalog/7900/variable/F1/V46?name=fin11f
47,fin13_1,Mobile money meets financial needs,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,76.8792,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,76.88% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",76.88% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V47?name=fin13_1
48,fin13a,Frequency of money deposited into mobile money accounts,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,47.1931,MODERATE_25_TO_49,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",https://microdata.worldbank.org/catalog/7900/variable/F1/V48?name=fin13a
49,fin13b,Frequency of money sent from mobile money accounts,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,47.1931,MODERATE_25_TO_49,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",https://microdata.worldbank.org/catalog/7900/variable/F1/V49?name=fin13b
50,fin13c,Frequency of money taken out of mobile money accounts,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,47.1931,MODERATE_25_TO_49,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",https://microdata.worldbank.org/catalog/7900/variable/F1/V50?name=fin13c
51,fin13d,Store money in mobile money account,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,47.1931,MODERATE_25_TO_49,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",https://microdata.worldbank.org/catalog/7900/variable/F1/V51?name=fin13d
52,fin13e,Asked for mobile money PIN or password,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,47.1931,MODERATE_25_TO_49,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",https://microdata.worldbank.org/catalog/7900/variable/F1/V52?name=fin13e
53,fin13f,Sent money to the wrong number,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,47.1931,MODERATE_25_TO_49,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_DIRECT_LEAKAGE,NO,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.","Target component, target-screened item, or close reconstruction of the outcome.",https://microdata.worldbank.org/catalog/7900/variable/F1/V53?name=fin13f
